Instrument in Sequence;1 - 34420A - GPIB0::22::INSTR;;;;;
Instrument in Sequence;2 - B2901A - USB0::0x0957::0x8B18::MY51144612::0::INSTR;;;;;
Start Time;2022-11-16 17:00:52.191;;;;;
Stop Time;2022-11-16 17:00:52.191;;;;;
;;;;;;
Time;Step;2 - Set CH1 On/Off;2 - Set CH1 Voltage Limit;2 - Set CH1 Current Limit;1 - Get Measurement Value (VDC);2 - Set CH1 On/Off
2022-11-16 17:00:52.260;1;1;;;;
2022-11-16 17:00:52.289;2;;0,12;;;
2022-11-16 17:00:52.329;3;;;0,1;;
2022-11-16 17:00:59.129;4;;;;-1,9885554;
2022-11-16 17:01:05.930;5;;;;-1,9849215;
2022-11-16 17:01:12.734;6;;;;-1,9818157;
